Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-10-08,366.748,374.151,365.491,374.151,377457.17658517
2020-10-09,375.111,375.111,359.334,363.857,381932.86552927
2020-10-12,363.669,368.183,356.929,356.929,447781.06025179
2020-10-13,356.929,369.628,353.079,368.48,294220.47567371
2020-10-14,368.48,382.614,365.688,374.25,441167.54787525
2020-10-15,371.746,372.805,359.146,360.779,323731.73392591
2020-10-16,363.669,375.21,363.669,364.243,652568.58212598
2020-10-19,367.134,369.44,357.889,357.889,322601.19308427
2020-10-20,357.889,363.669,348.466,353.95,504793.0528287
2020-10-21,353.276,355.395,341.251,351.93,713302.56975256
2020-10-22,346.348,362.224,344.428,352.702,346342.55075864
2020-10-23,353.465,356.068,339.32,340.092,812832.5969849
2020-10-26,341.053,351.732,340.577,346.348,389681.97031511
2020-10-27,349.426,365.589,348.852,350.297,713277.31191427
2020-10-28,335.767,340.478,307.865,318.446,1630538.9464453
2020-10-29,323.256,342.983,321.336,340.577,794532.78799065
2020-10-30,338.36,338.647,320.663,322.682,605065.66050661
2020-11-02,330.571,335.569,328.452,329.7,481945.82262962
2020-11-03,334.322,352.603,329.997,351.158,608213.79747046
2020-11-04,351.158,372.231,346.16,366.748,784752.9530067
2020-11-05,373.191,381.179,355.969,357.028,794141.796654
2020-11-06,358.859,374.25,357.414,368.569,392973.57180041
2020-11-09,374.25,385.89,355.108,357.315,1011487.5157235
2020-11-10,360.779,364.342,340.092,351.831,840622.28097959
2020-11-12,356.929,364.055,353.276,358.275,461433.4270016
2020-11-13,358.374,358.374,349.327,349.624,297727.2739412
2020-11-16,355.969,357.8,346.734,346.734,320301.7194868
2020-11-17,346.348,356.929,345.576,355.583,305358.17204387
2020-11-18,356.929,364.431,355.969,360.294,321530.26074099
2020-11-19,359.819,359.819,351.643,354.049,351819.46041236
2020-11-20,354.138,361.838,354.049,358.087,307195.93235748
2020-11-23,363.184,374.25,357.889,358.473,338711.65265598
2020-11-24,360.779,362.699,351.643,357.028,289324.49630055
2020-11-25,358.087,359.334,349.327,350.198,360435.41420814
2020-11-26,355.009,363.184,344.428,345.289,515931.75951238
2020-11-27,345.388,350.198,339.231,348.941,397874.60274123
2020-11-30,352.118,376.368,352.118,374.725,1096451.8527736
2020-12-01,377.516,402.34,377.516,390.602,975462.76613436
2020-12-02,395.61,409.843,389.354,408.883,588110.57882266
2020-12-03,409.843,411.773,402.152,405.033,501464.06974273
2020-12-04,406.765,426.679,406.478,426.204,490101.07345508
2020-12-07,429.57,446.594,386.662,408.982,1483907.0920655
2020-12-08,384.831,394.838,370.4,380.021,1944940.4349087
2020-12-09,384.544,396.471,368.668,380.793,1469168.6382695
2020-12-10,376.655,385.89,344.715,348.268,2126947.4072769
2020-12-11,345.19,345.19,296.611,308.35,4122812.6957358
